neighbor,cosine_similarity
San Francisco de Campeche,0.9305322574029344
Chetumal,0.7413128516923337
Villahermosa,0.4784020735536723
Ciudad Victoria,0.2886773695828563
Tuxtla Gutierrez,0.2816895420003519
